Estado civil,Modo de inscrição,Ordem de prioridade de escolha,Curso,Turno,Qualificação anterior,Qualificação anterior (Nota),Nacionalidade,Qualificação da mãe,Qualificação do pai,Ocupação da mãe,Ocupação do pai,Nota de admissão,Deslocado,Necessidade de educação especial,Devedor,Pagamento em dia,Gênero,Bolsista,Idade na inscrição,Internacional,Unidades curriculares 1º semestre (creditadas),Unidades curriculares 1º semestre (inscritos),Unidades curriculares 1º semestre (avaliações),Unidades curriculares 1º semestre (aprovado),Unidades curriculares 1º semestre (nota),Unidades curriculares 1º semestre (sem avaliações),Unidades curriculares 2º semestre (creditadas),Unidades curriculares 2º semestre (inscritos),Unidades curriculares 2º semestre (avaliações),Unidades curriculares 2º semestre (aprovado),Unidades curriculares 2º semestre (nota),Unidades curriculares 2º semestre (sem avaliações),taxa de desemprego,Taxa de inflação,GDP,Target
Solteiro,Titulares de diploma de licenciatura/tecnologo,1,Turismo,Diurno,Curso técnico superior profissional,110.0,Portugal,Ensino Secundário,Ensino Secundário,Pessoal Administrativo,"Trabalhadores Qualificados da Indústria, Construção e Artesãos",111.8,sim,Não,não,sim,Feminino,sim,21,não,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0,8.9,1.4,3.51,Graduado
Solteiro,1ª fase - Entrada geral,1,Medicina Veterinária,Diurno,Ensino médio,149.0,Portugal,Ensino Básico 2º Ciclo,Ensino básico 1º Ciclo,"Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores","Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores",137.1,sim,Não,não,sim,Feminino,sim,18,não,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Graduado
Solteiro,1ª fase - Entrada geral,1,Jornalismo e Comunicação,Diurno,Ensino médio,127.0,Portugal,Ensino Básico 3º Ciclo,Ensino básico 1º Ciclo,Trabalhadores Não Qualificados,Técnicos e Profissões de Nível Intermediário,120.7,sim,Não,não,sim,Feminino,não,20,não,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Desistente
Solteiro,3ª fase - Entrada geral,1,Serviço Social,Diurno,Ensino médio,137.0,Portugal,Ensino Básico 3º Ciclo,Ensino Básico 2º Ciclo,"Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores",Instaladores e Operadores de Máquinas e Trabalhadores de Montagem,137.4,sim,Não,não,sim,Feminino,não,18,não,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,Matriculado
Solteiro,2ª fase - Entrada geral,2,Enfermagem,Diurno,Ensino médio,135.0,Portugal,Ensino Básico 3º Ciclo,Ensino Secundário,"Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores",Pessoal Administrativo,127.3,sim,Não,não,sim,Feminino,não,18,não,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduado
Solteiro,1ª fase - Entrada geral,1,Equinicultura,Diurno,Ensino médio,137.0,Portugal,Ensino Superior - Bacharelado,Ensino Básico 3º Ciclo,Técnicos e Profissões de Nível Intermediário,"Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores",136.3,sim,Não,não,sim,Feminino,não,20,não,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduado
Solteiro,1ª fase - Entrada geral,1,Educação básica (pedagogia),Diurno,Ensino médio,140.0,Portugal,Ensino Básico 3º Ciclo,Ensino Básico 3º Ciclo,"Trabalhadores Qualificados da Indústria, Construção e Artesãos","Trabalhadores Qualificados da Indústria, Construção e Artesãos",124.6,sim,Não,não,sim,Feminino,não,18,não,0,7,7,6,11.666666666666666,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Matriculado
Solteiro,1ª fase - Entrada geral,3,Animação e Design Multimédia,Diurno,Ensino médio,122.0,Portugal,Ensino Secundário,Ensino Secundário,Trabalhadores Não Qualificados,Instaladores e Operadores de Máquinas e Trabalhadores de Montagem,120.3,não,Não,não,sim,Feminino,sim,21,não,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduado
Solteiro,3ª fase - Entrada geral,4,odontologia,Diurno,Ensino médio,127.0,Portugal,Ensino Secundário,Ensino Básico 2º Ciclo,Pessoal Administrativo,"Trabalhadores Qualificados da Indústria, Construção e Artesãos",121.8,sim,Não,não,sim,Feminino,não,20,não,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,Matriculado
Solteiro,1ª fase - Entrada geral,4,Enfermagem,Diurno,Ensino médio,142.0,Portugal,Ensino Básico 3º Ciclo,Ensino Básico 3º Ciclo,"Representantes do Poder Legislativo e dos Órgãos Executivos, Diretores, Directores e Gerentes Executivos","Representantes do Poder Legislativo e dos Órgãos Executivos, Diretores, Directores e Gerentes Executivos",125.5,sim,Não,não,sim,Feminino,não,18,não,0,8,12,7,12.857142857142858,0,0,8,12,7,12.857142857142858,0,12.7,3.7,-1.7,Graduado
Solteiro,1ª fase - Entrada geral,4,Gestão de Publicidade e Marketing,Diurno,Ensino médio,125.0,Portugal,Ensino Secundário,Ensino Básico 2º Ciclo,Pessoal Administrativo,"Trabalhadores Qualificados da Indústria, Construção e Artesãos",114.9,sim,Não,não,sim,Feminino,sim,19,não,0,6,8,6,13.375,0,0,6,7,6,12.285714285714286,0,11.1,0.6,2.02,Graduado
Solteiro,1ª fase - Entrada geral,1,Enfermagem,Diurno,Ensino médio,126.0,Portugal,Ensino Básico 3º Ciclo,Ensino Básico 3º Ciclo,Técnicos e Profissões de Nível Intermediário,"Trabalhadores Qualificados da Indústria, Construção e Artesãos",123.9,não,Não,não,sim,Feminino,não,19,não,0,7,8,6,13.296666666666669,0,0,8,9,7,14.114285714285714,0,11.1,0.6,2.02,Graduado
Solteiro,1ª fase - Entrada geral,1,Serviço Social,Diurno,Ensino médio,151.0,Portugal,Ensino Básico 3º Ciclo,Ensino Básico 2º Ciclo,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,157.0,sim,Não,sim,sim,Feminino,sim,18,não,0,6,8,5,11.6,0,0,6,12,4,11.0,0,7.6,2.6,0.32,Matriculado
Solteiro,2ª fase - Entrada geral,2,Serviço Social,Diurno,Ensino médio,115.0,Portugal,Ensino Básico 3º Ciclo,Ensino Básico 2º Ciclo,"Trabalhadores Qualificados da Indústria, Construção e Artesãos",Instaladores e Operadores de Máquinas e Trabalhadores de Montagem,116.4,sim,Não,não,sim,Feminino,não,21,não,0,6,9,6,11.375,0,0,6,9,6,13.285714285714286,0,16.2,0.3,-0.92,Graduado
Solteiro,1ª fase - Entrada geral,1,Medicina Veterinária,Diurno,Ensino médio,138.0,Portugal,Ensino Básico 3º Ciclo,Ensino Básico 3º Ciclo,Técnicos e Profissões de Nível Intermediário,Técnicos e Profissões de Nível Intermediário,131.0,sim,Não,não,sim,Feminino,não,18,não,0,5,9,5,12.666666666666666,2,0,5,7,4,13.0,0,9.4,-0.8,-3.12,Matriculado
Solteiro,1ª fase - Entrada geral,1,administração,Diurno,Ensino médio,135.0,Portugal,Ensino Básico 3º Ciclo,Ensino Secundário,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,122.1,sim,Não,não,sim,Feminino,não,20,não,0,5,6,5,12.0,0,0,5,6,5,12.333333333333334,0,16.2,0.3,-0.92,Graduado
Solteiro,2ª fase - Entrada geral,2,Enfermagem,Diurno,Ensino médio,127.0,Portugal,Ensino Superior - Bacharelado,Ensino Superior - Bacharelado,"Representantes do Poder Legislativo e dos Órgãos Executivos, Diretores, Directores e Gerentes Executivos",Profissões das Forças Armadas,118.8,sim,Não,não,sim,Masculino,não,19,não,0,7,9,6,12.933333333333332,0,0,7,7,6,13.716666666666669,0,16.2,0.3,-0.92,Matriculado
Solteiro,Titulares de diploma de especialização tecnológica,1,Agronomia,Diurno,Curso de especialização tecnológica,150.0,Portugal,Ensino Superior - Mestrado,Ensino Superior - Doutorado,Pessoal Administrativo,Especialistas em Atividades Intelectuais e Científicas,150.0,não,Não,não,sim,Masculino,não,21,não,0,6,15,5,11.857142857142858,0,0,6,17,5,10.571428571428571,0,16.2,0.3,-0.92,Matriculado
Solteiro,Mudança de instituição/curso,1,Design de Comunicação,Diurno,Ensino médio,125.0,Portugal,Curso técnico superior profissional,Ensino Superior - Bacharelado,125,"Especialistas em finanças, contabilidade, organização administrativa, relações públicas e comerciais",130.0,sim,Não,não,sim,Masculino,não,20,não,2,6,7,6,12.833333333333334,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Graduado
Solteiro,1ª fase - Entrada geral,1,administração,Diurno,Ensino médio,143.0,Portugal,Ensino Secundário,Ensino Secundário,Pessoal Administrativo,"Agricultores e Trabalhadores Qualificados da Agricultura, Pesca e Silvicultura",138.8,não,Não,não,não,Masculino,não,18,não,0,5,9,3,11.333333333333334,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Matriculado
Solteiro,3ª fase - Entrada geral,1,Serviço Social (noturno),Noturno,Ensino médio,138.0,Portugal,Ensino Básico 3º Ciclo,Ensino Secundário,Trabalhadores Não Qualificados,"Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores",134.5,sim,Não,não,sim,Feminino,não,19,não,0,6,6,6,12.666666666666666,0,0,6,8,6,14.375,0,12.4,0.5,1.79,Graduado
Solteiro,1ª fase - Entrada geral,1,administração (atendimento noturno),Noturno,Ensino médio,130.0,Portugal,Ensino Superior - Licenciatura,Ensino básico 1º Ciclo,Técnicos e Profissões de Nível Intermediário,Trabalhadores Não Qualificados,131.4,não,Não,não,sim,Masculino,não,34,não,0,5,6,5,12.4,0,0,5,9,5,13.428571428571429,0,13.9,-0.3,0.79,Graduado
Solteiro,Maiores de 23 anos,1,Tecnologias de Produção de Biocombustíveis,Diurno,Ensino médio,130.0,Portugal,Ensino Básico 2º Ciclo,Ensino básico 1º Ciclo,Trabalhadores Não Qualificados,"Agricultores e Trabalhadores Qualificados da Agricultura, Pesca e Silvicultura",102.5,não,Não,sim,não,Masculino,não,37,não,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,Desistente
Solteiro,Maiores de 23 anos,1,Engenharia de software,Diurno,11º ano de escolaridade – não concluído,133.1,Portugal,Desconhecido,Ensino básico 1º Ciclo,Estudante,Estudante,128.8,sim,Não,não,sim,Masculino,não,43,não,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,Desistente
Solteiro,Mudança de curso,1,administração,Diurno,Ensino médio,140.0,Portugal,Ensino básico 1º Ciclo,Ensino básico 1º Ciclo,"Agricultores e Trabalhadores Qualificados da Agricultura, Pesca e Silvicultura","Agricultores e Trabalhadores Qualificados da Agricultura, Pesca e Silvicultura",122.9,não,Não,não,sim,Feminino,não,55,não,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,Desistente
Divorciado,Maiores de 23 anos,1,administração (atendimento noturno),Noturno,Ensino médio,120.0,Portugal,Ensino Básico 3º Ciclo,Ensino Básico 3º Ciclo,Trabalhadores Não Qualificados,Técnicos e Profissões de Nível Intermediário,113.9,sim,Não,não,sim,Feminino,não,39,não,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduado
Solteiro,Titulares de diploma de especialização tecnológica,1,Equinicultura,Diurno,Curso de especialização tecnológica,120.0,Espanhol,Ensino Superior - Mestrado,Ensino Superior - Mestrado,Técnicos e Profissões de Nível Intermediário,"Agricultores e Trabalhadores Qualificados da Agricultura, Pesca e Silvicultura",120.0,não,Não,sim,não,Feminino,não,20,sim,2,6,13,3,11.666666666666666,0,1,6,11,3,12.0,0,12.4,0.5,1.79,Desistente
Solteiro,1ª fase - Entrada geral,5,Jornalismo e Comunicação,Diurno,Ensino médio,126.0,Portugal,Ensino Superior - Bacharelado,Ensino Superior - Bacharelado,Especialistas em Atividades Intelectuais e Científicas,Especialistas em Atividades Intelectuais e Científicas,121.1,não,Não,sim,sim,Feminino,não,18,não,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Desistente
Solteiro,1ª fase - Entrada geral,2,administração,Diurno,Ensino médio,133.0,Portugal,Ensino Superior - Bacharelado,Ensino Básico 3º Ciclo,Especialistas em Atividades Intelectuais e Científicas,"Trabalhadores Qualificados da Indústria, Construção e Artesãos",120.4,sim,Não,não,sim,Feminino,não,22,não,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduado
Solteiro,1ª fase - Entrada geral,6,Enfermagem,Diurno,Ensino médio,103.0,Portugal,Ensino Secundário,Ensino Superior - Bacharelado,Especialistas em Atividades Intelectuais e Científicas,Especialistas em Atividades Intelectuais e Científicas,100.6,sim,Sim,não,sim,Feminino,não,22,não,0,7,9,5,13.928,0,0,8,9,7,14.342857142857142,0,11.1,0.6,2.02,Graduado
Solteiro,2ª fase - Entrada geral,1,Jornalismo e Comunicação,Diurno,Ensino médio,120.0,Portugal,Ensino Secundário,Ensino Básico 2º Ciclo,"Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores","Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores",121.4,não,Não,não,não,Feminino,não,20,não,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Desistente
Solteiro,Maiores de 23 anos,1,administração (atendimento noturno),Noturno,Ensino médio,133.1,Portugal,Ensino básico 1º Ciclo,Ensino básico 1º Ciclo,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,109.7,não,Não,não,sim,Feminino,não,29,não,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,Desistente
Solteiro,2ª fase - Entrada geral,1,administração (atendimento noturno),Noturno,Ensino médio,154.0,Portugal,Ensino Básico 2º Ciclo,Ensino Básico 2º Ciclo,Pessoal Administrativo,"Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores",134.1,não,Não,não,sim,Feminino,não,24,não,0,5,9,2,11.5,0,0,5,11,3,14.333333333333334,1,7.6,2.6,0.32,Matriculado
Solteiro,2ª fase - Entrada geral,2,Serviço Social,Diurno,Ensino médio,130.0,Portugal,Ensino Básico 3º Ciclo,Ensino Básico 3º Ciclo,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,127.6,sim,Não,não,sim,Feminino,não,18,não,0,6,6,6,11.666666666666666,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Graduado
Solteiro,2ª fase - Entrada geral,6,Enfermagem,Diurno,Ensino médio,132.0,Portugal,Ensino básico 1º Ciclo,Ensino Básico 3º Ciclo,"Trabalhadores Qualificados da Indústria, Construção e Artesãos","Trabalhadores Qualificados da Indústria, Construção e Artesãos",132.4,sim,Não,não,sim,Feminino,sim,22,não,0,7,8,6,13.516666666666666,0,0,8,9,7,13.771428571428572,0,11.1,0.6,2.02,Graduado
Solteiro,Titulares de diploma de especialização tecnológica,1,Serviço Social (noturno),Noturno,Curso de especialização tecnológica,130.0,Portugal,Ensino Secundário,Ensino Básico 3º Ciclo,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,133.4,não,Não,não,sim,Feminino,sim,21,não,3,6,6,6,11.5,0,2,6,7,6,13.285714285714286,0,12.4,0.5,1.79,Graduado
Solteiro,1ª fase - Entrada geral,1,Serviço Social,Diurno,Ensino médio,139.0,Portugal,Ensino básico 1º Ciclo,Ensino Básico 2º Ciclo,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,126.1,não,Não,não,sim,Feminino,sim,19,não,0,6,7,5,12.333333333333334,0,0,6,7,6,12.833333333333334,0,12.7,3.7,-1.7,Graduado
Solteiro,Maiores de 23 anos,1,Turismo,Diurno,Ensino médio,130.0,Portugal,Ensino Básico 3º Ciclo,Ensino Básico 2º Ciclo,Trabalhadores Não Qualificados,"Trabalhadores Qualificados da Indústria, Construção e Artesãos",113.5,não,Não,não,sim,Feminino,sim,24,não,0,6,6,6,13.666666666666666,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,Graduado
Solteiro,1ª fase - Entrada geral,1,Enfermagem,Diurno,Ensino médio,139.0,Portugal,Ensino básico 1º Ciclo,Ensino Básico 2º Ciclo,"Agricultores e Trabalhadores Qualificados da Agricultura, Pesca e Silvicultura","Agricultores e Trabalhadores Qualificados da Agricultura, Pesca e Silvicultura",121.3,sim,Não,não,sim,Feminino,sim,19,não,0,8,10,6,11.833333333333334,0,0,8,10,6,11.833333333333334,0,9.4,-0.8,-3.12,Matriculado
Solteiro,1ª fase - Entrada geral,1,Jornalismo e Comunicação,Diurno,Ensino médio,127.0,Portugal,Ensino Secundário,Ensino Básico 3º Ciclo,"Trabalhadores Qualificados da Indústria, Construção e Artesãos","Trabalhadores Qualificados da Indústria, Construção e Artesãos",121.8,sim,Não,não,sim,Feminino,sim,20,não,0,6,11,4,14.0,0,0,6,12,3,11.0,0,9.4,-0.8,-3.12,Matriculado
Solteiro,1ª fase - Entrada geral,3,Equinicultura,Diurno,Ensino médio,167.0,Portugal,Ensino básico 1º Ciclo,Ensino básico 1º Ciclo,Outra Situação,Outra Situação,159.3,não,Não,não,sim,Feminino,não,19,não,0,5,7,5,14.714285714285714,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Graduado
Solteiro,Maiores de 23 anos,1,administração (atendimento noturno),Noturno,Ensino médio,130.0,Portugal,Ensino Básico 2º Ciclo,Ensino Básico 2º Ciclo,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,120.0,não,Não,não,sim,Feminino,não,27,não,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,Desistente
Solteiro,1ª fase - Entrada geral,1,Enfermagem,Diurno,Ensino médio,130.0,Portugal,Ensino Secundário,Ensino Básico 3º Ciclo,"Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores","Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores",129.1,sim,Não,não,sim,Feminino,não,18,não,0,7,9,7,13.044444444444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,Graduado
Casado,Titulares de outros cursos superiores,1,Turismo,Diurno,Ensino superior — licenciatura,130.0,Portugal,Ensino Secundário,Ensino Superior - Bacharelado,Pessoal Administrativo,Técnicos e Profissões de Nível Intermediário,130.0,não,Não,não,sim,Feminino,não,39,não,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Desistente
Solteiro,Maiores de 23 anos,1,Equinicultura,Diurno,Ensino superior - licenciatura (1.º ciclo),129.0,Portugal,Ensino Superior - Bacharelado,Ensino Superior - Bacharelado,Especialistas em Atividades Intelectuais e Científicas,Especialistas em Atividades Intelectuais e Científicas,155.3,sim,Não,não,sim,Feminino,não,27,não,0,6,9,5,13.0,0,5,11,13,10,12.9,0,12.4,0.5,1.79,Desistente
Solteiro,2ª fase - Entrada geral,1,Enfermagem,Diurno,Ensino médio,141.0,Portugal,Ensino Básico 2º Ciclo,Ensino Básico 2º Ciclo,"Trabalhadores Qualificados da Indústria, Construção e Artesãos",Profissões das Forças Armadas,139.8,sim,Não,não,sim,Feminino,não,18,não,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,Graduado
Solteiro,1ª fase - Entrada geral,3,Animação e Design Multimédia,Diurno,Ensino médio,125.0,Portugal,Ensino Básico 2º Ciclo,Ensino básico 1º Ciclo,Pessoal Administrativo,Trabalhadores Não Qualificados,115.2,sim,Não,não,sim,Feminino,não,18,não,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Matriculado
Solteiro,1ª fase - Entrada geral,2,Enfermagem,Diurno,Ensino médio,125.0,Portugal,Ensino Básico 3º Ciclo,Ensino Básico 3º Ciclo,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,114.9,não,Não,não,sim,Feminino,não,18,não,0,7,8,6,13.133333333333333,0,0,8,12,7,12.221428571428572,0,16.2,0.3,-0.92,Graduado
Solteiro,Titulares de diploma de especialização tecnológica,1,Serviço Social,Diurno,Curso de especialização tecnológica,130.0,Portugal,Ensino Básico 3º Ciclo,Ensino Secundário,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,131.9,não,Não,não,sim,Feminino,sim,21,não,3,6,7,6,12.0,0,2,6,7,6,12.0,0,13.9,-0.3,0.79,Graduado
Solteiro,2ª fase - Entrada geral,3,Animação e Design Multimédia,Diurno,Ensino médio,133.0,Portugal,Ensino Secundário,Ensino básico 1º Ciclo,Pessoal Administrativo,"Trabalhadores Qualificados da Indústria, Construção e Artesãos",126.0,sim,Não,não,sim,Masculino,sim,19,não,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Matriculado
Solteiro,2ª fase - Entrada geral,1,Design de Comunicação,Diurno,Ensino médio,127.0,Portugal,Ensino Secundário,Ensino Secundário,Técnicos e Profissões de Nível Intermediário,Pessoal Administrativo,130.2,sim,Não,não,sim,Masculino,não,19,não,0,6,6,5,11.4,0,0,6,8,1,10.0,0,10.8,1.4,1.74,Matriculado
Solteiro,Mudança de curso,1,Design de Comunicação,Diurno,Ensino médio,116.0,Portugal,Ensino Secundário,Ensino Secundário,Técnicos e Profissões de Nível Intermediário,Técnicos e Profissões de Nível Intermediário,120.9,não,Não,não,sim,Masculino,não,24,não,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Matriculado
Divorciado,Transferência,1,Enfermagem,Diurno,Ensino básico 3.º ciclo (9.º/10.º/11.º ano) ou equivalente,133.1,Portugal,Ensino Secundário,Ensino Secundário,"Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores","Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores",126.0,sim,Não,não,sim,Masculino,não,29,não,2,7,10,5,11.9,0,1,8,10,5,11.0,0,13.9,-0.3,0.79,Desistente
