Unnamed: 0,Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
10,Solteiro,1ª fase - Entrada geral,1,Gestão de Publicidade e Marketing,Diurno,Ensino médio,139.0,Portugal,Ensino Básico 2.º Ciclo (6.º/7.º/8.º Ano) ou Equiv.,Ensino Básico 3º Ciclo (9º/10º/11º Ano) ou Equiv.,"Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores","Trabalhadores Qualificados da Indústria, Construção e Artesãos",130.6,sim,0,não,sim,Feminino,não,18,não,0,6,6,6,12.333333333333334,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduate
11,Solteiro,1ª fase - Entrada geral,1,Enfermagem,Diurno,Ensino médio,136.0,Portugal,Ensino Básico 3º Ciclo (9º/10º/11º Ano) ou Equiv.,Ensino Básico 2.º Ciclo (6.º/7.º/8.º Ano) ou Equiv.,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,119.3,sim,0,não,sim,Feminino,sim,18,não,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,12.7,3.7,-1.7,Graduate
12,Solteiro,1ª fase - Entrada geral,2,Educação básica (pedagogia),Diurno,Ensino médio,133.0,Portugal,Ensino Básico 3º Ciclo (9º/10º/11º Ano) ou Equiv.,Ensino básico 1º ciclo (4º/5º ano) ou equiv.,Pessoal Administrativo,Trabalhadores Não Qualificados,130.2,sim,0,não,sim,Feminino,não,19,não,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout
13,Solteiro,Titulares de diploma de licenciatura/tecnologo,1,Turismo,Diurno,Curso técnico superior profissional,110.0,Portugal,Ensino Secundário - 12.º Ano de Escolaridade ou Eq.,Ensino Secundário - 12.º Ano de Escolaridade ou Eq.,Pessoal Administrativo,"Trabalhadores Qualificados da Indústria, Construção e Artesãos",111.8,sim,0,não,sim,Feminino,sim,21,não,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0,8.9,1.4,3.51,Graduate
14,Solteiro,1ª fase - Entrada geral,1,Medicina Veterinária,Diurno,Ensino médio,149.0,Portugal,Ensino Básico 2.º Ciclo (6.º/7.º/8.º Ano) ou Equiv.,Ensino básico 1º ciclo (4º/5º ano) ou equiv.,"Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores","Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores",137.1,sim,0,não,sim,Feminino,sim,18,não,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Graduate
15,Solteiro,1ª fase - Entrada geral,1,Jornalismo e Comunicação,Diurno,Ensino médio,127.0,Portugal,Ensino Básico 3º Ciclo (9º/10º/11º Ano) ou Equiv.,Ensino básico 1º ciclo (4º/5º ano) ou equiv.,Trabalhadores Não Qualificados,Técnicos e Profissões de Nível Intermediário,120.7,sim,0,não,sim,Feminino,não,20,não,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout
16,Solteiro,3ª fase - Entrada geral,1,Serviço Social,Diurno,Ensino médio,137.0,Portugal,Ensino Básico 3º Ciclo (9º/10º/11º Ano) ou Equiv.,Ensino Básico 2.º Ciclo (6.º/7.º/8.º Ano) ou Equiv.,"Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores",Instaladores e Operadores de Máquinas e Trabalhadores de Montagem,137.4,sim,0,não,sim,Feminino,não,18,não,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,Enrolled
17,Solteiro,2ª fase - Entrada geral,2,Enfermagem,Diurno,Ensino médio,135.0,Portugal,Ensino Básico 3º Ciclo (9º/10º/11º Ano) ou Equiv.,Ensino Secundário - 12.º Ano de Escolaridade ou Eq.,"Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores",Pessoal Administrativo,127.3,sim,0,não,sim,Feminino,não,18,não,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate
18,Solteiro,1ª fase - Entrada geral,1,Equinicultura,Diurno,Ensino médio,137.0,Portugal,Ensino Superior - Bacharelado,Ensino Básico 3º Ciclo (9º/10º/11º Ano) ou Equiv.,Técnicos e Profissões de Nível Intermediário,"Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores",136.3,sim,0,não,sim,Feminino,não,20,não,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate
19,Solteiro,1ª fase - Entrada geral,1,Educação básica (pedagogia),Diurno,Ensino médio,140.0,Portugal,Ensino Básico 3º Ciclo (9º/10º/11º Ano) ou Equiv.,Ensino Básico 3º Ciclo (9º/10º/11º Ano) ou Equiv.,"Trabalhadores Qualificados da Indústria, Construção e Artesãos","Trabalhadores Qualificados da Indústria, Construção e Artesãos",124.6,sim,0,não,sim,Feminino,não,18,não,0,7,7,6,11.666666666666666,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Enrolled
20,Solteiro,1ª fase - Entrada geral,3,Animação e Design Multimédia,Diurno,Ensino médio,122.0,Portugal,Ensino Secundário - 12.º Ano de Escolaridade ou Eq.,Ensino Secundário - 12.º Ano de Escolaridade ou Eq.,Trabalhadores Não Qualificados,Instaladores e Operadores de Máquinas e Trabalhadores de Montagem,120.3,não,0,não,sim,Feminino,sim,21,não,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate
21,Solteiro,3ª fase - Entrada geral,4,odontologia,Diurno,Ensino médio,127.0,Portugal,Ensino Secundário - 12.º Ano de Escolaridade ou Eq.,Ensino Básico 2.º Ciclo (6.º/7.º/8.º Ano) ou Equiv.,Pessoal Administrativo,"Trabalhadores Qualificados da Indústria, Construção e Artesãos",121.8,sim,0,não,sim,Feminino,não,20,não,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,Enrolled
22,Solteiro,1ª fase - Entrada geral,4,Enfermagem,Diurno,Ensino médio,142.0,Portugal,Ensino Básico 3º Ciclo (9º/10º/11º Ano) ou Equiv.,Ensino Básico 3º Ciclo (9º/10º/11º Ano) ou Equiv.,"Representantes do Poder Legislativo e dos Órgãos Executivos, Diretores, Directores e Gerentes Executivos","Representantes do Poder Legislativo e dos Órgãos Executivos, Diretores, Directores e Gerentes Executivos",125.5,sim,0,não,sim,Feminino,não,18,não,0,8,12,7,12.857142857142858,0,0,8,12,7,12.857142857142858,0,12.7,3.7,-1.7,Graduate
23,Solteiro,1ª fase - Entrada geral,4,Gestão de Publicidade e Marketing,Diurno,Ensino médio,125.0,Portugal,Ensino Secundário - 12.º Ano de Escolaridade ou Eq.,Ensino Básico 2.º Ciclo (6.º/7.º/8.º Ano) ou Equiv.,Pessoal Administrativo,"Trabalhadores Qualificados da Indústria, Construção e Artesãos",114.9,sim,0,não,sim,Feminino,sim,19,não,0,6,8,6,13.375,0,0,6,7,6,12.285714285714286,0,11.1,0.6,2.02,Graduate
24,Solteiro,1ª fase - Entrada geral,1,Enfermagem,Diurno,Ensino médio,126.0,Portugal,Ensino Básico 3º Ciclo (9º/10º/11º Ano) ou Equiv.,Ensino Básico 3º Ciclo (9º/10º/11º Ano) ou Equiv.,Técnicos e Profissões de Nível Intermediário,"Trabalhadores Qualificados da Indústria, Construção e Artesãos",123.9,não,0,não,sim,Feminino,não,19,não,0,7,8,6,13.296666666666669,0,0,8,9,7,14.114285714285714,0,11.1,0.6,2.02,Graduate
25,Solteiro,1ª fase - Entrada geral,1,Serviço Social,Diurno,Ensino médio,151.0,Portugal,Ensino Básico 3º Ciclo (9º/10º/11º Ano) ou Equiv.,Ensino Básico 2.º Ciclo (6.º/7.º/8.º Ano) ou Equiv.,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,157.0,sim,0,sim,sim,Feminino,sim,18,não,0,6,8,5,11.6,0,0,6,12,4,11.0,0,7.6,2.6,0.32,Enrolled
26,Solteiro,2ª fase - Entrada geral,2,Serviço Social,Diurno,Ensino médio,115.0,Portugal,Ensino Básico 3º Ciclo (9º/10º/11º Ano) ou Equiv.,Ensino Básico 2.º Ciclo (6.º/7.º/8.º Ano) ou Equiv.,"Trabalhadores Qualificados da Indústria, Construção e Artesãos",Instaladores e Operadores de Máquinas e Trabalhadores de Montagem,116.4,sim,0,não,sim,Feminino,não,21,não,0,6,9,6,11.375,0,0,6,9,6,13.285714285714286,0,16.2,0.3,-0.92,Graduate
27,Solteiro,1ª fase - Entrada geral,1,Medicina Veterinária,Diurno,Ensino médio,138.0,Portugal,Ensino Básico 3º Ciclo (9º/10º/11º Ano) ou Equiv.,Ensino Básico 3º Ciclo (9º/10º/11º Ano) ou Equiv.,Técnicos e Profissões de Nível Intermediário,Técnicos e Profissões de Nível Intermediário,131.0,sim,0,não,sim,Feminino,não,18,não,0,5,9,5,12.666666666666666,2,0,5,7,4,13.0,0,9.4,-0.8,-3.12,Enrolled
28,Solteiro,1ª fase - Entrada geral,1,administração,Diurno,Ensino médio,135.0,Portugal,Ensino Básico 3º Ciclo (9º/10º/11º Ano) ou Equiv.,Ensino Secundário - 12.º Ano de Escolaridade ou Eq.,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,122.1,sim,0,não,sim,Feminino,não,20,não,0,5,6,5,12.0,0,0,5,6,5,12.333333333333334,0,16.2,0.3,-0.92,Graduate
29,Solteiro,2ª fase - Entrada geral,2,Enfermagem,Diurno,Ensino médio,127.0,Portugal,Ensino Superior - Bacharelado,Ensino Superior - Bacharelado,"Representantes do Poder Legislativo e dos Órgãos Executivos, Diretores, Directores e Gerentes Executivos",Profissões das Forças Armadas,118.8,sim,0,não,sim,Masculino,não,19,não,0,7,9,6,12.933333333333332,0,0,7,7,6,13.716666666666669,0,16.2,0.3,-0.92,Enrolled
30,Solteiro,Titulares de diploma de especialização tecnológica,1,Agronomia,Diurno,Curso de especialização tecnológica,150.0,Portugal,Ensino Superior - Mestrado,Ensino Superior - Doutorado,Pessoal Administrativo,Especialistas em Atividades Intelectuais e Científicas,150.0,não,0,não,sim,Masculino,não,21,não,0,6,15,5,11.857142857142858,0,0,6,17,5,10.571428571428571,0,16.2,0.3,-0.92,Enrolled
31,Solteiro,Mudança de instituição/curso,1,Design de Comunicação,Diurno,Ensino médio,125.0,Portugal,Curso técnico superior profissional,Ensino Superior - Bacharelado,125,"Especialistas em finanças, contabilidade, organização administrativa, relações públicas e comerciais",130.0,sim,0,não,sim,Masculino,não,20,não,2,6,7,6,12.833333333333334,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Graduate
32,Solteiro,1ª fase - Entrada geral,1,administração,Diurno,Ensino médio,143.0,Portugal,Ensino Secundário - 12.º Ano de Escolaridade ou Eq.,Ensino Secundário - 12.º Ano de Escolaridade ou Eq.,Pessoal Administrativo,"Agricultores e Trabalhadores Qualificados da Agricultura, Pesca e Silvicultura",138.8,não,0,não,não,Masculino,não,18,não,0,5,9,3,11.333333333333334,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Enrolled
33,Solteiro,3ª fase - Entrada geral,1,Serviço Social (noturno),Noturno,Ensino médio,138.0,Portugal,Ensino Básico 3º Ciclo (9º/10º/11º Ano) ou Equiv.,Ensino Secundário - 12.º Ano de Escolaridade ou Eq.,Trabalhadores Não Qualificados,"Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores",134.5,sim,0,não,sim,Feminino,não,19,não,0,6,6,6,12.666666666666666,0,0,6,8,6,14.375,0,12.4,0.5,1.79,Graduate
34,Solteiro,1ª fase - Entrada geral,1,administração (atendimento noturno),Noturno,Ensino médio,130.0,Portugal,Ensino Superior - Licenciatura,Ensino básico 1º ciclo (4º/5º ano) ou equiv.,Técnicos e Profissões de Nível Intermediário,Trabalhadores Não Qualificados,131.4,não,0,não,sim,Masculino,não,34,não,0,5,6,5,12.4,0,0,5,9,5,13.428571428571429,0,13.9,-0.3,0.79,Graduate
35,Solteiro,Maiores de 23 anos,1,Tecnologias de Produção de Biocombustíveis,Diurno,Ensino médio,130.0,Portugal,Ensino Básico 2.º Ciclo (6.º/7.º/8.º Ano) ou Equiv.,Ensino básico 1º ciclo (4º/5º ano) ou equiv.,Trabalhadores Não Qualificados,"Agricultores e Trabalhadores Qualificados da Agricultura, Pesca e Silvicultura",102.5,não,0,sim,não,Masculino,não,37,não,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,Dropout
36,Solteiro,Maiores de 23 anos,1,Engenharia de software,Diurno,11º ano de escolaridade – não concluído,133.1,Portugal,Desconhecido,Ensino básico 1º ciclo (4º/5º ano) ou equiv.,Estudante,Estudante,128.8,sim,0,não,sim,Masculino,não,43,não,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,Dropout
37,Solteiro,Mudança de curso,1,administração,Diurno,Ensino médio,140.0,Portugal,Ensino básico 1º ciclo (4º/5º ano) ou equiv.,Ensino básico 1º ciclo (4º/5º ano) ou equiv.,"Agricultores e Trabalhadores Qualificados da Agricultura, Pesca e Silvicultura","Agricultores e Trabalhadores Qualificados da Agricultura, Pesca e Silvicultura",122.9,não,0,não,sim,Feminino,não,55,não,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,Dropout
38,Divorciado,Maiores de 23 anos,1,administração (atendimento noturno),Noturno,Ensino médio,120.0,Portugal,Ensino Básico 3º Ciclo (9º/10º/11º Ano) ou Equiv.,Ensino Básico 3º Ciclo (9º/10º/11º Ano) ou Equiv.,Trabalhadores Não Qualificados,Técnicos e Profissões de Nível Intermediário,113.9,sim,0,não,sim,Feminino,não,39,não,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate
39,Solteiro,Titulares de diploma de especialização tecnológica,1,Equinicultura,Diurno,Curso de especialização tecnológica,120.0,Espanhol,Ensino Superior - Mestrado,Ensino Superior - Mestrado,Técnicos e Profissões de Nível Intermediário,"Agricultores e Trabalhadores Qualificados da Agricultura, Pesca e Silvicultura",120.0,não,0,sim,não,Feminino,não,20,sim,2,6,13,3,11.666666666666666,0,1,6,11,3,12.0,0,12.4,0.5,1.79,Dropout
40,Solteiro,1ª fase - Entrada geral,5,Jornalismo e Comunicação,Diurno,Ensino médio,126.0,Portugal,Ensino Superior - Bacharelado,Ensino Superior - Bacharelado,Especialistas em Atividades Intelectuais e Científicas,Especialistas em Atividades Intelectuais e Científicas,121.1,não,0,sim,sim,Feminino,não,18,não,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout
41,Solteiro,1ª fase - Entrada geral,2,administração,Diurno,Ensino médio,133.0,Portugal,Ensino Superior - Bacharelado,Ensino Básico 3º Ciclo (9º/10º/11º Ano) ou Equiv.,Especialistas em Atividades Intelectuais e Científicas,"Trabalhadores Qualificados da Indústria, Construção e Artesãos",120.4,sim,0,não,sim,Feminino,não,22,não,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduate
42,Solteiro,1ª fase - Entrada geral,6,Enfermagem,Diurno,Ensino médio,103.0,Portugal,Ensino Secundário - 12.º Ano de Escolaridade ou Eq.,Ensino Superior - Bacharelado,Especialistas em Atividades Intelectuais e Científicas,Especialistas em Atividades Intelectuais e Científicas,100.6,sim,1,não,sim,Feminino,não,22,não,0,7,9,5,13.928,0,0,8,9,7,14.342857142857142,0,11.1,0.6,2.02,Graduate
43,Solteiro,2ª fase - Entrada geral,1,Jornalismo e Comunicação,Diurno,Ensino médio,120.0,Portugal,Ensino Secundário - 12.º Ano de Escolaridade ou Eq.,Ensino Básico 2.º Ciclo (6.º/7.º/8.º Ano) ou Equiv.,"Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores","Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores",121.4,não,0,não,não,Feminino,não,20,não,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Dropout
44,Solteiro,Maiores de 23 anos,1,administração (atendimento noturno),Noturno,Ensino médio,133.1,Portugal,Ensino básico 1º ciclo (4º/5º ano) ou equiv.,Ensino básico 1º ciclo (4º/5º ano) ou equiv.,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,109.7,não,0,não,sim,Feminino,não,29,não,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,Dropout
45,Solteiro,2ª fase - Entrada geral,1,administração (atendimento noturno),Noturno,Ensino médio,154.0,Portugal,Ensino Básico 2.º Ciclo (6.º/7.º/8.º Ano) ou Equiv.,Ensino Básico 2.º Ciclo (6.º/7.º/8.º Ano) ou Equiv.,Pessoal Administrativo,"Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores",134.1,não,0,não,sim,Feminino,não,24,não,0,5,9,2,11.5,0,0,5,11,3,14.333333333333334,1,7.6,2.6,0.32,Enrolled
46,Solteiro,2ª fase - Entrada geral,2,Serviço Social,Diurno,Ensino médio,130.0,Portugal,Ensino Básico 3º Ciclo (9º/10º/11º Ano) ou Equiv.,Ensino Básico 3º Ciclo (9º/10º/11º Ano) ou Equiv.,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,127.6,sim,0,não,sim,Feminino,não,18,não,0,6,6,6,11.666666666666666,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Graduate
47,Solteiro,2ª fase - Entrada geral,6,Enfermagem,Diurno,Ensino médio,132.0,Portugal,Ensino básico 1º ciclo (4º/5º ano) ou equiv.,Ensino Básico 3º Ciclo (9º/10º/11º Ano) ou Equiv.,"Trabalhadores Qualificados da Indústria, Construção e Artesãos","Trabalhadores Qualificados da Indústria, Construção e Artesãos",132.4,sim,0,não,sim,Feminino,sim,22,não,0,7,8,6,13.516666666666666,0,0,8,9,7,13.771428571428572,0,11.1,0.6,2.02,Graduate
48,Solteiro,Titulares de diploma de especialização tecnológica,1,Serviço Social (noturno),Noturno,Curso de especialização tecnológica,130.0,Portugal,Ensino Secundário - 12.º Ano de Escolaridade ou Eq.,Ensino Básico 3º Ciclo (9º/10º/11º Ano) ou Equiv.,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,133.4,não,0,não,sim,Feminino,sim,21,não,3,6,6,6,11.5,0,2,6,7,6,13.285714285714286,0,12.4,0.5,1.79,Graduate
49,Solteiro,1ª fase - Entrada geral,1,Serviço Social,Diurno,Ensino médio,139.0,Portugal,Ensino básico 1º ciclo (4º/5º ano) ou equiv.,Ensino Básico 2.º Ciclo (6.º/7.º/8.º Ano) ou Equiv.,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,126.1,não,0,não,sim,Feminino,sim,19,não,0,6,7,5,12.333333333333334,0,0,6,7,6,12.833333333333334,0,12.7,3.7,-1.7,Graduate
50,Solteiro,Maiores de 23 anos,1,Turismo,Diurno,Ensino médio,130.0,Portugal,Ensino Básico 3º Ciclo (9º/10º/11º Ano) ou Equiv.,Ensino Básico 2.º Ciclo (6.º/7.º/8.º Ano) ou Equiv.,Trabalhadores Não Qualificados,"Trabalhadores Qualificados da Indústria, Construção e Artesãos",113.5,não,0,não,sim,Feminino,sim,24,não,0,6,6,6,13.666666666666666,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,Graduate
51,Solteiro,1ª fase - Entrada geral,1,Enfermagem,Diurno,Ensino médio,139.0,Portugal,Ensino básico 1º ciclo (4º/5º ano) ou equiv.,Ensino Básico 2.º Ciclo (6.º/7.º/8.º Ano) ou Equiv.,"Agricultores e Trabalhadores Qualificados da Agricultura, Pesca e Silvicultura","Agricultores e Trabalhadores Qualificados da Agricultura, Pesca e Silvicultura",121.3,sim,0,não,sim,Feminino,sim,19,não,0,8,10,6,11.833333333333334,0,0,8,10,6,11.833333333333334,0,9.4,-0.8,-3.12,Enrolled
52,Solteiro,1ª fase - Entrada geral,1,Jornalismo e Comunicação,Diurno,Ensino médio,127.0,Portugal,Ensino Secundário - 12.º Ano de Escolaridade ou Eq.,Ensino Básico 3º Ciclo (9º/10º/11º Ano) ou Equiv.,"Trabalhadores Qualificados da Indústria, Construção e Artesãos","Trabalhadores Qualificados da Indústria, Construção e Artesãos",121.8,sim,0,não,sim,Feminino,sim,20,não,0,6,11,4,14.0,0,0,6,12,3,11.0,0,9.4,-0.8,-3.12,Enrolled
53,Solteiro,1ª fase - Entrada geral,3,Equinicultura,Diurno,Ensino médio,167.0,Portugal,Ensino básico 1º ciclo (4º/5º ano) ou equiv.,Ensino básico 1º ciclo (4º/5º ano) ou equiv.,Outra Situação,Outra Situação,159.3,não,0,não,sim,Feminino,não,19,não,0,5,7,5,14.714285714285714,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Graduate
54,Solteiro,Maiores de 23 anos,1,administração (atendimento noturno),Noturno,Ensino médio,130.0,Portugal,Ensino Básico 2.º Ciclo (6.º/7.º/8.º Ano) ou Equiv.,Ensino Básico 2.º Ciclo (6.º/7.º/8.º Ano) ou Equiv.,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,120.0,não,0,não,sim,Feminino,não,27,não,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,Dropout
55,Solteiro,1ª fase - Entrada geral,1,Enfermagem,Diurno,Ensino médio,130.0,Portugal,Ensino Secundário - 12.º Ano de Escolaridade ou Eq.,Ensino Básico 3º Ciclo (9º/10º/11º Ano) ou Equiv.,"Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores","Trabalhadores de Serviços Pessoais, Segurança e Proteção e Vendedores",129.1,sim,0,não,sim,Feminino,não,18,não,0,7,9,7,13.044444444444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,Graduate
